attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment
License Application Processing Activity Log Id,Id tự sinh (surrogate key),Surrogate Key,false,true,draft,,"PK surrogate. ETL Pattern Activity Log. Entity con tham chiếu entity cha ""License Application""."
License Application Processing Activity Log Code,Mã định danh log (tự động tăng). BK,Text,false,false,draft,NHNCK.qlnhn.ApplicationLogs.Id,BK chính. PK nguồn.
Source System Code,Mã nguồn dữ liệu. Giá trị: NHNCK.ApplicationLogs,Classification Value,false,false,draft,,BK. Hardcode.
License Application Id,FK đến Securities Practitioner License Application,Surrogate Key,false,false,draft,NHNCK.qlnhn.ApplicationLogs.ApplicationId,"FK. ""Activity of"" → Applications. Pattern Id + Code."
License Application Code,Mã hồ sơ,Text,false,false,draft,NHNCK.qlnhn.ApplicationLogs.ApplicationId,Pattern Id + Code.
Activity Status Code,Mã trạng thái tại thời điểm log,Classification Value,true,false,draft,NHNCK.qlnhn.ApplicationLogs.StatusId,FK → ApplicationStatuses (Classification Value). Suffix Code.
Activity Performed By Officer Id,FK đến Regulatory Authority Officer — người thực hiện,Surrogate Key,true,false,draft,NHNCK.qlnhn.ApplicationLogs.UserId,FK → Regulatory Authority Officer. Pattern Id + Code.
Activity Performed By Officer Code,Mã người thực hiện,Text,true,false,draft,NHNCK.qlnhn.ApplicationLogs.UserId,FK → Regulatory Authority Officer. Pattern Id + Code.
Activity Note,Ghi chú hoạt động,Text,true,false,draft,NHNCK.qlnhn.ApplicationLogs.Note,"Prefix ""Activity"" phân biệt với Note trên entity cha."
Activity Timestamp,Ngày tạo log (thời điểm hoạt động xảy ra),Timestamp,true,false,draft,NHNCK.qlnhn.ApplicationLogs.CreatedAt,CreatedAt của log = thời điểm xảy ra.
