attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment
License Application Id,Id tự sinh (surrogate key),Surrogate Key,false,true,draft,,"PK surrogate. BCV: ""Government Registration Document"" (Documentation) — ""Identifies a Documentation Item that is issued by a principality or sovereignty and whose purpose is to define the rights and obligations of the registered party."" Đặt ""License Application"" theo HLD."
License Application Code,Mã định danh hồ sơ (tự động tăng). BK,Text,false,false,draft,NHNCK.qlnhn.Applications.Id,BK chính. PK của bảng nguồn → map vào Entity Code.
Source System Code,Mã nguồn dữ liệu. Giá trị: NHNCK.Applications,Classification Value,false,false,draft,,BK. Hardcode giá trị NHNCK.Applications.
Application Code,Mã hồ sơ (mã nghiệp vụ do hệ thống sinh),Text,true,false,draft,NHNCK.qlnhn.Applications.ApplicationCode,"BCV: không có term riêng. Mã hồ sơ nghiệp vụ, khác BK (Id tự tăng)."
Application Title,Tiêu đề hồ sơ,Text,true,false,draft,NHNCK.qlnhn.Applications.Title,"BCV: không có term riêng. Prefix ""Application"" phân biệt."
Registration Type Code,Loại đăng ký,Classification Value,true,false,draft,NHNCK.qlnhn.Applications.RegistrationType,"BCV: ""Registration Type"" (Event). Giữ nguyên BCV term. Suffix Code."
Application Type Code,Loại hồ sơ,Classification Value,true,false,draft,NHNCK.qlnhn.Applications.ApplicationType,BCV: không có term riêng. Phân loại hồ sơ. Suffix Code.
Application Status Code,Mã trạng thái hồ sơ,Classification Value,true,false,draft,NHNCK.qlnhn.Applications.StatusId,"BCV: gần nhất ""Life Cycle Status"" pattern. FK → ApplicationStatuses (Classification Value). Suffix Code."
Practitioner Id,FK đến Securities Practitioner (Nhóm B),Surrogate Key,true,false,draft,NHNCK.qlnhn.Applications.ProfessionalId,FK. Pattern Id + Code.
Practitioner Code,Mã người hành nghề,Text,true,false,draft,NHNCK.qlnhn.Applications.ProfessionalId,Pattern Id + Code.
License Certificate Document Id,FK đến Securities Practitioner License Certificate Document (Nhóm B),Surrogate Key,true,false,draft,NHNCK.qlnhn.Applications.CertificateRecordId,FK. Pattern Id + Code.
License Certificate Document Code,Mã chứng chỉ hành nghề đã cấp,Text,true,false,draft,NHNCK.qlnhn.Applications.CertificateRecordId,Pattern Id + Code.
Certificate Type Code,Mã loại chứng chỉ đăng ký,Classification Value,true,false,draft,NHNCK.qlnhn.Applications.CertificateId,"BCV: ""Government Registration Document Type"" (Documentation). FK → Certificates (Classification Value). Suffix Code."
Previous Certificate Type Code,ID loại chứng chỉ trước đó,Classification Value,true,false,draft,NHNCK.qlnhn.Applications.PreviousCertificateId,"Đối xứng với Certificate Type Code, prefix ""Previous""."
Previous License Certificate Document Id,FK đến chứng chỉ hành nghề trước đó (Securities Practitioner License Certificate Document),Surrogate Key,true,false,draft,NHNCK.qlnhn.Applications.PreviousCertificateRecordId,FK. Luôn tạo cặp Id + Code cho FK đến Fundamental entity dù nullable. Nếu Code = NULL thì Id cũng = NULL → nhất quán.
Previous License Certificate Document Code,Mã chứng chỉ hành nghề trước đó,Text,true,false,draft,NHNCK.qlnhn.Applications.PreviousCertificateRecordId,Pattern Id + Code.
Examination Assessment Id,FK đến Securities Practitioner Qualification Examination Assessment (Nhóm C),Surrogate Key,true,false,draft,NHNCK.qlnhn.Applications.ExamSessionId,FK. Pattern Id + Code.
Examination Assessment Code,Mã kỳ thi sát hạch,Text,true,false,draft,NHNCK.qlnhn.Applications.ExamSessionId,Pattern Id + Code.
