attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment
Tax Invoice Enforcement Order Id,Id tự sinh (surrogate key),Surrogate Key,false,true,draft,,PK surrogate. BCV: Invoice (Documentation).
Tax Invoice Enforcement Order Code,BK — ID quyết định cưỡng chế hóa đơn trong DCST,Text,false,false,draft,DCST.TCT_TTCCN_HOA_DON.ID,BK chính. PK nguồn map vào Code.
Source System Code,Mã nguồn dữ liệu. Giá trị: DCST.TCT_TTCCN_HOA_DON,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. Hardcode.
Registered Taxpayer Id,FK đến Registered Taxpayer — resolve qua liên kết ngầm MST,Surrogate Key,true,false,draft,DCST.TCT_TTCCN_HOA_DON.MA_NNHAN,FK target: Registered Taxpayer.Registered Taxpayer Id. ETL JOIN MA_NNHAN (= MST) → Registered Taxpayer. Nullable vì link ngầm.
Registered Taxpayer Code,Mã số thuế người bị cưỡng chế hóa đơn,Text,true,false,draft,DCST.TCT_TTCCN_HOA_DON.MA_NNHAN,FK target: Registered Taxpayer.Registered Taxpayer Code. Pair with Registered Taxpayer Id.
Taxpayer Name,Tên người/tổ chức bị cưỡng chế hóa đơn. Denormalized snapshot,Text,true,false,draft,DCST.TCT_TTCCN_HOA_DON.TEN_NNHAN,Snapshot tại thời điểm quyết định.
Supervisory Tax Authority Code,Mã cơ quan thuế quản lý trực tiếp NNT,Text,true,false,draft,DCST.TCT_TTCCN_HOA_DON.MA_CQT_QL,Prefix Supervisory Tax Authority — nhất quán với THONG_TIN_DK_THUE LLD và TCT_TT_CUONG_CHE_NO LLD.
Supervisory Tax Authority Name,Tên cơ quan thuế quản lý trực tiếp NNT,Text,true,false,draft,DCST.TCT_TTCCN_HOA_DON.TEN_CQT_QL,Denormalized name. Nhất quán prefix.
Enforcement Type Code,"Mã hình thức cưỡng chế hóa đơn (ngừng sử dụng, thu hồi...)",Classification Value,true,false,draft,DCST.TCT_TTCCN_HOA_DON.MA_HTCC,Scheme: TAX_ENFORCEMENT_TYPE. Dùng chung với TCT_TT_CUONG_CHE_NO — xem append.
Enforcement Type Name,Tên hình thức cưỡng chế hóa đơn,Text,true,false,draft,DCST.TCT_TTCCN_HOA_DON.TEN_HTCC,Denormalized name tương ứng Enforcement Type Code.
Electronic Transaction Code,Mã giao dịch điện tử,Text,true,false,draft,DCST.TCT_TTCCN_HOA_DON.MA_GDDT,Nhất quán với TCT_TT_CUONG_CHE_NO.
Order Number,Số quyết định cưỡng chế hóa đơn,Text,true,false,draft,DCST.TCT_TTCCN_HOA_DON.SO_QD,Business reference number của quyết định.
Order Date,Ngày ban hành quyết định cưỡng chế hóa đơn,Date,true,false,draft,DCST.TCT_TTCCN_HOA_DON.NGAY_QD,
Taxpayer Business Industry,Ngành kinh doanh của đối tượng bị cưỡng chế hóa đơn,Text,true,false,draft,DCST.TCT_TTCCN_HOA_DON.NGANH_KD_DTBCC,Snapshot tại thời điểm quyết định. Nhất quán prefix Taxpayer.
Enforcement Effective Start Date,Ngày hiệu lực quyết định cưỡng chế từ,Date,true,false,draft,DCST.TCT_TTCCN_HOA_DON.NGAY_HIEU_LUC_QD_TU,Prefix Enforcement Effective — nhất quán với TCT_TT_CUONG_CHE_NO LLD.
Enforcement Effective End Date,Ngày hiệu lực quyết định cưỡng chế đến,Date,true,false,draft,DCST.TCT_TTCCN_HOA_DON.NGAY_HIEU_LUC_QD_DEN,
Notice Taxpayer Code,Thông báo: Mã số thuế người nộp thuế (trong thông báo),Text,true,false,draft,DCST.TCT_TTCCN_HOA_DON.TB_MA_NNHAN,"Prefix Notice — thông tin NNT ghi trong thông báo kèm theo QĐ, có thể khác MA_NNHAN chính."
Notice Taxpayer Name,Thông báo: Tên người nộp thuế (trong thông báo),Text,true,false,draft,DCST.TCT_TTCCN_HOA_DON.TB_TEN_NNHAN,Prefix Notice nhất quán.
Notice Code,Mã thông báo kèm theo quyết định cưỡng chế hóa đơn,Text,true,false,draft,DCST.TCT_TTCCN_HOA_DON.MA_THONG_BAO,Prefix Notice nhất quán.
Notice Name,Tên thông báo kèm theo quyết định,Text,true,false,draft,DCST.TCT_TTCCN_HOA_DON.TEN_THONG_BAO,Denormalized name tương ứng Notice Code.
Reference Order Number,Căn cứ số quyết định (QĐ được viện dẫn làm căn cứ),Text,true,false,draft,DCST.TCT_TTCCN_HOA_DON.CAN_CU_QDSO,Prefix Reference Order — QĐ gốc được dùng làm căn cứ ban hành.
Reference Order Date,Căn cứ ngày quyết định,Date,true,false,draft,DCST.TCT_TTCCN_HOA_DON.CAN_CU_QDNGAY,Prefix Reference Order nhất quán.
Debt Notice Reference Number,Số thông báo tiền nợ và tiền phạt nộp chậm,Text,true,false,draft,DCST.TCT_TTCCN_HOA_DON.TB_NO_SO,Prefix Debt Notice — tham chiếu đến thông báo nợ thuế liên quan.
Debt Notice Date,Ngày thông báo tiền nợ và tiền phạt nộp chậm,Date,true,false,draft,DCST.TCT_TTCCN_HOA_DON.TB_NO_NGAY,Prefix Debt Notice nhất quán.
Enforcement Status,Hiệu lực quyết định cưỡng chế hóa đơn,Text,true,false,draft,DCST.TCT_TTCCN_HOA_DON.HIEU_LUC,"Nguồn VARCHAR(100) — giữ Text. Cần xác nhận giá trị (còn hiệu lực / hết hiệu lực...). Nếu binary → chuyển Boolean sau khi profile."
